# Genepanel: TrioPU Version: 01 Date: 2016-01-21        Post-processed: 2016-05-02
gene symbol	phenotype	inheritance	omim_number	pmid	inheritance info	comment
ITGA7	Muscular dystrophy, congenital, due to ITGA7 deficiency	AR	613204			
ITPR1	Spinocerebellar ataxia 29, congenital nonprogressive	AD	117360			
IVD	Isovaleric acidemia	AR	243500			
JAG1	Alagille syndrome	AD	118450			
JAM3	Hemorrhagic destruction of the brain, subependymal calcification, and cataracts	AR	613730			
KANK1	Cerebral palsy, spastic quadriplegic, 2		612900			
KANSL1	Koolen-De Vries syndrome	AD	610443			
KAT6B	SBBYSS syndrome	AD	603736		!	
KAT6B	Genitopatellar syndrome	AD	606170			
KCNJ10	SESAME syndrome	AR	612780			
KCNMA1	Generalized epilepsy and paroxysmal dyskinesia	AD	609446			
KCNQ2	Seizures, benign neonatal, 1	AD	121200			
KCNQ2	Myokymia	AD	121200			
KCNQ2	Epileptic encephalopathy, early infantile, 7	AD	613720			
KCTD7	Epilepsy, progressive myoclonic 3, with or without intracellular inclusions	AR	611726			
KDM5C	Mental retardation, X-linked, syndromic, Claes-Jensen type	XR	300534			
KDM6A	Kabuki syndrome 2	XD	300867			
KIAA0226	?Spinocerebellar ataxia, autosomal recessive 15	AR	615705			
KIAA1279	Goldberg-Shprintzen megacolon syndrome	AR	609460			
KIAA2022	Mental retardation, X-linked 98	XR	300912			
KIF11	Microcephaly with or without chorioretinopathy, lymphedema, or mental retardation	AD	152950			
KIF1A	Spastic paraplegia 30, autosomal recessive	AR	610357			
KIF1A	Neuropathy, hereditary sensory, type IIC	AR	614213			
KIF1A	Mental retardation, autosomal dominant 9	AD	614255			
KIF7	Joubert syndrome 12	AR	200990			
KIF7	Acrocallosal syndrome	AR	200990			
KIRREL3	Mental retardation, autosomal dominant 4		612581			
KMT2D	Kabuki syndrome 1	AD	147920			
KRAS	Cardiofaciocutaneous syndrome 2	AD	615278			
KRAS	Noonan syndrome 3	AD	609942		!	
L1CAM	Hydrocephalus with Hirschsprung disease	XR	307000			
L1CAM	Hydrocephalus with congenital idiopathic intestinal pseudoobstruction	XR	307000			
L1CAM	Hydrocephalus due to aqueductal stenosis	XR	307000			
L1CAM	CRASH syndrome	XR	303350			
L1CAM	Corpus callosum, partial agenesis of	XR	304100		!	
L1CAM	MASA syndrome	XR	303350			
L2HGDH	L-2-hydroxyglutaric aciduria	AR	236792			
LAMA1	Poretti-Boltshauser syndrome	AR	615960			
LAMA2	Muscular dystrophy, congenital merosin-deficient	AR	607855			
LAMA2	Muscular dystrophy, congenital, due to partial LAMA2 deficiency	AR	607855			
LAMB1	Lissencephaly 5	AR	615191			
LAMC3	Cortical malformations, occipital	AR	614115			
LAMP2	Danon disease	XD	300257			
LARGE	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 6	AR	608840			
LARGE	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6	AR	613154			
LHX3	Pituitary hormone deficiency, combined, 3	AR	221750			
LHX4	Pituitary hormone deficiency, combined, 4	AD	262700			
LIG4	LIG4 syndrome	AR	606593		!	
LINS	Mental retardation, autosomal recessive 27	AR	614340		!	
LMBRD1	Methylmalonic aciduria and homocystinuria, cblF type	AR	277380			
LRP2	Donnai-Barrow syndrome	AR	222448			
LRP5	Osteoporosis-pseudoglioma syndrome	AR	259770			
LRPPRC	Leigh syndrome, French-Canadian type	AR	220111			
LYST	Chediak-Higashi syndrome	AR	214500			
MAGEL2	Schaaf-Yang syndrome	AD	615547			
MAN1B1	Mental retardation, autosomal recessive 15	AR	614202			
MAN2B1	Mannosidosis, alpha-, types I and II	AR	248500			
MANBA	Mannosidosis, beta	AR	248510			
MAOA	Brunner syndrome	XR	300615			
MAP2K1	Cardiofaciocutaneous syndrome 3		615279			
MAP2K2	Cardiofaciocutaneous syndrome 4		615280			
MASP1	3MC syndrome 1	AR	257920			
MAT1A	Methionine adenosyltransferase deficiency, autosomal recessive	AR;AD	250850			
MAT1A	Hypermethioninemia, persistent, autosomal dominant, due to methionine adenosyltransferase I/III deficiency	AR;AD	250850			
MBD5	Mental retardation, autosomal dominant 1	AD	156200			
MCCC1	3-Methylcrotonyl-CoA carboxylase 1 deficiency	AR	210200			
MCCC2	3-Methylcrotonyl-CoA carboxylase 2 deficiency	AR	210210			
MCOLN1	Mucolipidosis IV	AR	252650			
MCPH1	Microcephaly 1, primary, autosomal recessive	AR	251200			
MECP2	Mental retardation, X-linked syndromic, Lubs type	XR	300260			
MECP2	Encephalopathy, neonatal severe	XR	300673			
MECP2	Rett syndrome, preserved speech variant	XD	312750			
MECP2	Rett syndrome, atypical	XD	312750			
MECP2	Rett syndrome	XD	312750			
MECP2	Mental retardation, X-linked, syndromic 13	XR	300055			
MED12	Lujan-Fryns syndrome	XR	309520			
MED12	Opitz-Kaveggia syndrome	XR	305450			
MED12	Ohdo syndrome, X-linked	XR	300895			
MED17	Microcephaly, postnatal progressive, with seizures and brain atrophy	AR	613668			
MED23	Mental retardation, autosomal recessive 18	AR	614249		!	
MEF2C	Mental retardation, stereotypic movements, epilepsy, and/or cerebral malformations	IC	613443			
MEF2C	Chromosome 5q14.3 deletion syndrome	IC	613443			
MEGF10	Myopathy, areflexia, respiratory distress, and dysphagia, early-onset	AR	614399			
MFSD8	Ceroid lipofuscinosis, neuronal, 7	AR	610951			
MGAT2	Congenital disorder of glycosylation, type IIa	AR	212066			
MGP	Keutel syndrome	AR	245150			
MID1	Opitz GBBB syndrome, type I	XR	300000			
MKKS	McKusick-Kaufman syndrome	AR	236700			
MKKS	Bardet-Biedl syndrome 6	AR	605231			
MKS1	Meckel syndrome 1	AR	249000			
MKS1	Bardet-Biedl syndrome 13	AR	615990			
MLC1	Megalencephalic leukoencephalopathy with subcortical cysts	AR	604004			
MLYCD	Malonyl-CoA decarboxylase deficiency	AR	248360			
MMAA	Methylmalonic aciduria, vitamin B12-responsive	AR	251100			
MMAB	Methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblB complementation type	AR	251110			
MMACHC	Methylmalonic aciduria and homocystinuria, cblC type	AR	277400			
MMADHC	Methylmalonic aciduria, cblD type, variant 2	AR	277410			
MMADHC	Methylmalonic aciduria and homocystinuria, cblD type	AR	277410			
MMADHC	Homocystinuria, cblD type, variant 1	AR	277410			
MOCS1	Molybdenum cofactor deficiency A	AR	252150			
MOCS2	Molybdenum cofactor deficiency B	AR	252160			
MOGS	Congenital disorder of glycosylation, type IIb	AR	606056			
MPDU1	Congenital disorder of glycosylation, type If	AR	609180			
MPLKIP	Trichothiodystrophy 4, nonphotosensitive	AR	234050			
MPV17	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)	AR	256810			
MRE11A	Ataxia-telangiectasia-like disorder	AR	604391			
MTHFR	Homocystinuria due to MTHFR deficiency	AR	236250			
MTO1	Combined oxidative phosphorylation deficiency 10	AR	614702			
MTR	{Neural tube defects, folate-sensitive, susceptibility to}	AR	601634			
MTR	Homocystinuria-megaloblastic anemia, cblG complementation type	AR	250940			
MTRR	Homocystinuria-megaloblastic anemia, cbl E type	AR	236270			
MUT	Methylmalonic aciduria, mut(0) type	AR	251000			
MYCN	Feingold syndrome	AD	164280			
MYH3	Arthrogryposis, distal, type 2A	AD	193700			
MYO5A	Griscelli syndrome, type 1	AR	214450			
NAA10	Ogden syndrome	XD;XR	300855			
NAA10	?Microphthalmia, syndromic 1	XR	309800		!	
NAGA	Schindler disease, type I	AR	609241			
NAGA	Kanzaki disease	AR	609242			
NAGA	Schindler disease, type III	AR	609241			
NAGLU	Mucopolysaccharidosis type IIIB (Sanfilippo B)	AR	252920			
NAGS	N-acetylglutamate synthase deficiency	AR	237310			
NBN	Nijmegen breakage syndrome	AR	251260			
NDE1	Lissencephaly 4 (with microcephaly)	AR	614019			
NDE1	?Microhydranencephaly	AR	605013			
NDP	Norrie disease	XR	310600			
NDST1	Mental retardation, autosomal recessive 46	AR	616116			
NDUFA1	Mitochondrial complex I deficiency	AR;M;XD	252010			
NDUFAF2	Mitochondrial complex I deficiency	AR;M;XD	252010			
NDUFAF2	Leigh syndrome	AR;M	256000			
NDUFS1	Mitochondrial complex I deficiency	AR;M;XD	252010			
NDUFS4	Mitochondrial complex I deficiency	AR;M;XD	252010			
NDUFS4	Leigh syndrome	AR;M	256000			
NDUFS7	Leigh syndrome	AR;M	256000			
NDUFS8	Leigh syndrome due to mitochondrial complex I deficiency	AR;M	256000			
NDUFV1	Mitochondrial complex I deficiency	AR;M;XD	252010			
NEK1	Short-rib thoracic dysplasia 6 with or without polydactyly	AR;DR	263520			
NEU1	Sialidosis, type II	AR	256550			
NEU1	Sialidosis, type I	AR	256550			
NF1	Watson syndrome	AD	193520			
NF1	Neurofibromatosis-Noonan syndrome	AD	601321			
NF1	Neurofibromatosis, type 1	AD	162200			
NFIX	Sotos syndrome 2		614753			
NFIX	Marshall-Smith syndrome	AD	602535			
NFU1	Multiple mitochondrial dysfunctions syndrome 1	AR	605711			
NHP2	Dyskeratosis congenita, autosomal recessive 2	AR	613987			
NHS	Nance-Horan syndrome	XD	302350			
NIPBL	Cornelia de Lange syndrome 1	AD	122470			
NKX2-1	Choreoathetosis, hypothyroidism, and neonatal respiratory distress, Learning difficulties mental retardation	AD	610978	22832740	!	
NOP10	Dyskeratosis congenita, autosomal recessive 1	AR	224230			
NOTCH1	Adams-Oliver syndrome 5	AD	616028			
NPC1	Niemann-Pick disease, type D	AR	257220			
NPC1	Niemann-Pick disease, type C1	AR	257220			
NPC2	Niemann-pick disease, type C2	AR	607625			
NPHP1	Senior-Loken syndrome-1	AR	266900			
NPHP1	Nephronophthisis 1, juvenile	AR	256100			
NPHP1	Joubert syndrome 4	AR	609583			
NPHP3	Renal-hepatic-pancreatic dysplasia 1	AR	208540			
NR2F1	Bosch-Boonstra-Schaaf optic atrophy syndrome	AD	615722			
NRAS	Noonan syndrome 6		613224			
NRXN1	Pitt-Hopkins-like syndrome 2	AR	614325			
NSD1	Beckwith-Wiedemann syndrome	AD	130650			
NSD1	Sotos syndrome 1	AD	117550			
NSDHL	CK syndrome	XR	300831			
NSDHL	CHILD syndrome	XD	308050			
NSUN2	Mental retardation, autosomal recessive 5	AR	611091			
NUBPL	Mitochondrial complex I deficiency	AR	252010		!	
NUP62	Striatonigral degeneration, infantile	AR	271930			
OCRL	Lowe syndrome	XR	309000			
OCRL	Dent disease 2	XR	300555			
OFD1	Simpson-Golabi-Behmel syndrome, type 2	XR	300209			
OFD1	Orofaciodigital syndrome I	XD	311200			
OFD1	Joubert syndrome 10		300804			
OPHN1	Mental retardation, X-linked, with cerebellar hypoplasia and distinctive facial appearance	XR	300486			
ORC1	Meier-Gorlin syndrome 1	AR	224690			
OTC	Ornithine transcarbamylase deficiency	XR	311250			
OTX2	Retinal dystrophy, early-onset, with or without pituitary dysfunction	AD	610125			
OTX2	Microphthalmia, syndromic 5	AD	610125			
PAFAH1B1	Lissencephaly 1	AD	607432		!	
PAFAH1B1	Subcortical laminar heterotopia	AD	607432		!	
PAH	Phenylketonuria	AR	261600			Tas på nyfødtscreening, men aktuell for barn som ikke er inkludert i nyfødt screening
PAK3	Mental retardation, X-linked 30/47	XR	300558			
PALB2	Fanconi anemia, complementation group N	AR	610832		!	
PAX8	Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia	AR	218700			
PC	Thrombophilia due to protein C deficiency, autosomal recessive	AR	612304			
PC	Pyruvate carboxylase deficiency	AR	266150			
PCBD1	Hyperphenylalaninemia, BH4-deficient, D	AR	264070			
PCCA	Propionicacidemia	AR	606054			
PCCB	Propionicacidemia	AR	606054			
PCDH19	Epileptic encephalopathy, early infantile, 9	XD	300088		!	
PCNT	Microcephalic osteodysplastic primordial dwarfism, type II	AR	210720			
PDE4D	Acrodysostosis 2, with or without hormone resistance	AD	614613			
PDHA1	Pyruvate dehydrogenase E1-alpha deficiency	XD	312170			
PDHX	Lacticacidemia due to PDX1 deficiency	AR	245349		!	
PDSS1	Coenzyme Q10 deficiency, primary, 2	AR	614651			
PDSS2	Coenzyme Q10 deficiency, primary, 3	AR	614652			
PEPD	Prolidase deficiency	AR	170100			
PEX1	Heimler syndrome 1	AR	234580			
PEX1	Peroxisome biogenesis disorder 1B (NALD/IRD)		601539			
PEX1	Peroxisome biogenesis disorder 1A (Zellweger)	AR	214100			
PEX10	Peroxisome biogenesis disorder 6B	AR	614871			
PEX10	Peroxisome biogenesis disorder 6A (Zellweger)	AR	614870		!	
PEX12	Peroxisome biogenesis disorder 3B	AR	266510			
PEX12	Peroxisome biogenesis disorder 3A (Zellweger)		614859			
PEX13	Peroxisome biogenesis disorder 11B	AR	614885		!	
PEX13	Peroxisome biogenesis disorder 11A (Zellweger)	AR	614883		!	
PEX14	Peroxisome biogenesis disorder 13A (Zellweger)	AR	614887		!	
PEX16	Peroxisome biogenesis disorder 8B	AR	614877		!	
PEX16	Peroxisome biogenesis disorder 8A, (Zellweger)	AR	614876		!	
PEX19	Peroxisome biogenesis disorder 12A (Zellweger)		614886			
PEX2	Peroxisome biogenesis disorder 5B	AR	614867			
PEX2	Peroxisome biogenesis disorder 5A (Zellweger)	AR	614866			
PEX26	Peroxisome biogenesis disorder 7B	AR	614873		!	
PEX26	Peroxisome biogenesis disorder 7A (Zellweger)	AR	614872		!	
PEX3	Peroxisome biogenesis disorder 10A (Zellweger)		614882			
PEX5	Rhizomelic chondrodysplasia punctata, type 5	AR	616716			
PEX5	Peroxisome biogenesis disorder 2B	AR	202370			
PEX5	Peroxisome biogenesis disorder 2A (Zellweger)	AR	214110			
PEX6	Peroxisome biogenesis disorder 4B	AR	614863			
PEX6	Peroxisome biogenesis disorder 4A (Zellweger)	AR	614862		!	
PEX7	Rhizomelic chondrodysplasia punctata, type 1	AR	215100			
PEX7	Peroxisome biogenesis disorder 9B	AR	614879		!	
PGK1	Phosphoglycerate kinase 1 deficiency	XR	300653			
PHF6	Borjeson-Forssman-Lehmann syndrome	XR	301900			
PHF8	Mental retardation syndrome, X-linked, Siderius type	XR	300263		!	
PHGDH	Phosphoglycerate dehydrogenase deficiency	AR	601815			
PHGDH	Neu-Laxova syndrome 1	AR	256520			
PHIP	PHIP-associated mental retardation	AD			!	
PIGA	Multiple congenital anomalies-hypotonia-seizures syndrome 2	XR	300868			
PIGL	CHIME syndrome	AR	280000			
PIGN	Multiple congenital anomalies-hypotonia-seizures syndrome 1	AR	614080			
PIGO	Hyperphosphatasia with mental retardation syndrome 2	AR	614749			
PIGV	Hyperphosphatasia with mental retardation syndrome 1	AR	239300			
PIK3CA	Cowden syndrome 5	AD	615108			
PIK3CA	Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic		602501			
PIK3R2	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1	AD	603387			
PLA2G6	Infantile neuroaxonal dystrophy 1	AR	256600			
PLA2G6	Neurodegeneration with brain iron accumulation 2B	AR	610217			
PLCB1	Epileptic encephalopathy, early infantile, 12	AR	613722			
PLOD3	Lysyl hydroxylase 3 deficiency	AR	612394			
PLP1	Spastic paraplegia 2, X-linked	XR	312920			
PLP1	Pelizaeus-Merzbacher disease	XR	312080			
PMM2	Congenital disorder of glycosylation, type Ia	AR	212065			
PNKP	Microcephaly, seizures, and developmental delay	AR	613402			
PNKP	Ataxia-oculomotor apraxia 4	AR	616267			
POGZ	White-Sutton syndrome	AD	616364			
POLR3A	Leukodystrophy, hypomyelinating, 7, with or without oligodontia and/or hypogonadotropic hypogonadism	AR	607694			
POLR3B	Leukodystrophy, hypomyelinating, 8, with or without oligodontia and/or hypogonadotropic hypogonadism	AR	614381			
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3	AR	613151			
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3	AR	253280			
POMGNT2	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 8	AR	614830			
POMT1	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 1	AR	609308			
POMT1	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 1	AR	613155			
POMT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1	AR	236670			
POMT2	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 2	AR	613150			
POMT2	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 2	AR	613158			
POMT2	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 2	AR	613156			
PORCN	Focal dermal hypoplasia	XD	305600			
POU1F1	Pituitary hormone deficiency, combined, 1	AR;AD	613038			
PPP2R1A	Mental retardation, autosomal dominant 36	AD	616362			
PPT1	Ceroid lipofuscinosis, neuronal, 1	AR	256730			
PQBP1	Renpenning syndrome	XR	309500			
PRKAR1A	Acrodysostosis 1, with or without hormone resistance	AD	101800			
PROP1	Pituitary hormone deficiency, combined, 2	AR	262600			
PRPS1	Arts syndrome	XR	301835			
PRPS1	Phosphoribosylpyrophosphate synthetase superactivity	XR	300661			
PRRX1	Agnathia-otocephaly complex	AD	202650		!	
PRSS12	Mental retardation, autosomal recessive 1	AR	249500			
PSAP	Krabbe disease, atypical	AR	611722			
PSAP	Gaucher disease, atypical		610539			
PSAP	Combined SAP deficiency	AR	611721			
PSAP	Metachromatic leukodystrophy due to SAP-b deficiency	AR	249900			
PSAT1	Neu-Laxova syndrome 2	AR	616038			
PSAT1	?Phosphoserine aminotransferase deficiency	AR	610992			
PSPH	Phosphoserine phosphatase deficiency	AR	614023			
PTCH1	Holoprosencephaly-7	AD	610828			
PTEN	Lhermitte-Duclos syndrome	AD	158350			
PTEN	VATER association with macrocephaly and ventriculomegaly	AR	276950			
PTEN	Cowden syndrome 1	AD	158350			
PTEN	Bannayan-Riley-Ruvalcaba syndrome	AD	153480			
PTEN	Macrocephaly/autism syndrome	AD	605309			
PTF1A	Pancreatic and cerebellar agenesis	AR	609069			
PTPN11	LEOPARD syndrome 1	AD	151100			
PTPN11	Noonan syndrome 1	AD	163950			
PTS	Hyperphenylalaninemia, BH4-deficient, A	AR	261640			
PYCR1	Cutis laxa, autosomal recessive, type IIIB	AR	614438		!	
PYCR1	Cutis laxa, autosomal recessive, type IIB	AR	612940			
QDPR	Hyperphenylalaninemia, BH4-deficient, C	AR	261630			
RAB18	Warburg micro syndrome 3	AR	614222			
RAB23	Carpenter syndrome	AR	201000			
RAB39B	Mental retardation, X-linked 72	XR	300271			
RAB39B	?Waisman syndrome	XR	311510			
RAB3GAP1	Warburg micro syndrome 1	AR	600118			
RAB3GAP2	Warburg micro syndrome 2	AR	614225			
RAB3GAP2	Martsolf syndrome	AR	212720			
RAD21	Cornelia de Lange syndrome 4	AD	614701			
RAD50	Nijmegen breakage syndrome-like disorder	AR	613078		!	
RAD51C	Fanconi anemia, complementation group O	AR	613390			
RAF1	LEOPARD syndrome 2	AD	611554		!	
RAF1	Noonan syndrome 5	AD	611553		!	
RAI1	Smith-Magenis syndrome	AD;IC	182290			
RANBP2	{Encephalopathy, acute, infection-induced, 3, susceptibility to}	AD	608033			
RARS2	Pontocerebellar hypoplasia, type 6	AR	611523			
RBM10	TARP syndrome	XR	311900			
RBM28	?Alopecia, neurologic defects, and endocrinopathy syndrome	AR	612079			
RECQL4	Rothmund-Thomson syndrome	AR	268400			
RECQL4	Baller-Gerold syndrome	AR	218600			
RELN	Lissencephaly 2 (Norman-Roberts type)	AR	257320			
RFT1	Congenital disorder of glycosylation, type In	AR	612015			
RNASEH2A	Aicardi-Goutieres syndrome 4	AR	610333			
RNASEH2B	Aicardi-Goutieres syndrome 2	AR	610181			
RNASEH2C	Aicardi-Goutieres syndrome 3	AR	610329			
RNASET2	Leukoencephalopathy, cystic, without megalencephaly	AR	612951			
RNF135	Macrocephaly, macrosomia, facial dysmorphism syndrome		614192			
RNF168	RIDDLE syndrome	AR	611943			
ROGDI	Kohlschutter-Tonz syndrome	AR	226750			
ROR2	Robinow syndrome, autosomal recessive	AR	268310			
ROR2	Brachydactyly, type B1	AD	113000			
RPGRIP1L	Meckel syndrome 5	AR	611561			
RPGRIP1L	Joubert syndrome 7	AR	611560		!	
RPGRIP1L	COACH syndrome	AR	216360			
RPS19	Diamond-Blackfan anemia 1	AD	105650			
RPS6KA3	Mental retardation, X-linked 19	XD	300844			
RPS6KA3	Coffin-Lowry syndrome	XD	303600		!	
RYR1	Neuromuscular disease, congenital, with uniform type 1 fiber	AR;AD	117000			
RYR1	Minicore myopathy with external ophthalmoplegia	AR	255320			
RYR1	Central core disease	AR;AD	117000			
SACS	Spastic ataxia, Charlevoix-Saguenay type	AR	270550			
SAMHD1	Aicardi-Goutieres syndrome 5	AR	612952		!	
SATB2	Glass syndrome	AD	612313			
SBDS	Shwachman-Diamond syndrome	AR	260400			
SC5D	Lathosterolosis	AR	607330		!	
SCN1A	Epilepsy, generalized, with febrile seizures plus, type 2	AD	604403			
SCN1A	Dravet syndrome	AD	607208			
SCN1B	Epilepsy, generalized, with febrile seizures plus, type 1	AD	604233		!	Kun en pasient med moderat PU, tas med i panelet
SCN2A	Epileptic encephalopathy, early infantile, 11	AD	613721			
SCN8A	Epileptic encephalopathy, early infantile, 13	AD	614558			
SCN8A	?Cognitive impairment with or without cerebellar ataxia	AD	614306			
SCO1	Mitochondrial complex IV deficiency	AR	220110		!	
SCO2	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1	AR	604377			
SDCCAG8	Senior-Loken syndrome 7	AR	613615		!	
SDCCAG8	Bardet-Biedl syndrome 16	AR	615993			
SDHA	Mitochondrial respiratory chain complex II deficiency	AR	252011			
SDHA	Leigh syndrome	AR	256000		!	
SDHAF1	Mitochondrial complex II deficiency	AR	252011			
SETBP1	Schinzel-Giedion midface retraction syndrome	AD	269150			
SETBP1	Mental retardation, autosomal dominant 29	AD	616078			
SGSH	Mucopolysaccharidisis type IIIA (Sanfilippo A)	AR	252900			
SHH	Holoprosencephaly-3	AD	142945			
SHH	Schizencephaly	AD	269160		!	
SHOC2	Noonan-like syndrome with loose anagen hair	AD	607721			
SIL1	Marinesco-Sjogren syndrome	AR	248800			
SIX3	Schizencephaly		269160			
SIX3	Holoprosencephaly-2	AD;IC	157170			
SKI	Shprintzen-Goldberg syndrome	AD	182212			
SLC12A6	Agenesis of the corpus callosum with peripheral neuropathy	AR	218000			
SLC16A2	Allan-Herndon-Dudley syndrome	XD	300523			
SLC17A5	Sialic acid storage disorder, infantile	AR	269920			
SLC17A5	Salla disease	AR	604369			
SLC19A3	Thiamine metabolism dysfunction syndrome 2 (biotin- or thiamine-responsive encephalopathy type 2)	AR	607483			
SLC22A5	Carnitine deficiency, systemic primary	AR	212140			
SLC25A15	Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome	AR	238970			
SLC25A19	Microcephaly, Amish type	AR	607196			
SLC25A20	Carnitine-acylcarnitine translocase deficiency	AR	212138		!	Ikke PU, men hypotoni og letargi
SLC25A22	Epileptic encephalopathy, early infantile, 3	AR	609304			
SLC2A1	Stomatin-deficient cryohydrocytosis with neurologic defects	AD	608885			
SLC2A1	GLUT1 deficiency syndrome 2, childhood onset	AD	612126			
SLC2A1	GLUT1 deficiency syndrome 1, infantile onset, severe	AR;AD	606777			
SLC2A10	Arterial tortuosity syndrome	AR	208050			
SLC2A2	Fanconi-Bickel syndrome	AR	227810			
SLC33A1	Congenital cataracts, hearing loss, and neurodegeneration	AR	614482			
SLC35C1	Congenital disorder of glycosylation, type IIc	AR	266265			
SLC46A1	Folate malabsorption, hereditary	AR	229050			
SLC4A4	Renal tubular acidosis, proximal, with ocular abnormalities	AR	604278			
SLC5A5	Thyroid dyshormonogenesis 1	AR	274400			
SLC6A3	Parkinsonism-dystonia, infantile	AR	613135			
SLC6A5	Hyperekplexia 3	AR;AD	614618			
SLC6A8	Cerebral creatine deficiency syndrome 1	XR	300352			
SLC9A6	Mental retardation, X-linked syndromic, Christianson type	XD	300243			
SLX4	Fanconi anemia, complementation group P	AR	613951			
SMAD4	Myhre syndrome	AD	139210			
SMARCA2	Nicolaides-Baraitser syndrome	AD	601358			
SMARCA4	Mental retardation, autosomal dominant 16		614609			
SMARCB1	Mental retardation, autosomal dominant 15		614608			
SMARCE1	{Meningioma, familial, susceptibility to}, Coffin Siris	AR	607174	25168959	!	
SMC1A	Cornelia de Lange syndrome 2	X	300590		!	
SMC3	Cornelia de Lange syndrome 3		610759			
SMOC1	Microphthalmia with limb anomalies	AR	206920			
SMPD1	Niemann-Pick disease, type B	AR	607616			
SMPD1	Niemann-Pick disease, type A	AR	257200			
SMS	Smith-Magenis syndrome	AD	182290		!	
SMS	Mental retardation, X-linked, Snyder-Robinson type	XR	309583			
SNAP29	Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome	AR	609528			
SNIP1	Psychomotor retardation, epilepsy, and craniofacial dysmorphism	AR	614501			
SOBP	Mental retardation, anterior maxillary protrusion, and strabismus	AR	613671			
SOS1	Noonan syndrome 4	AD	610733			
SOX10	Waardenburg syndrome, type 2E, with or without neurologic involvement	AD	611584			
SOX10	PCWH syndrome	AD	609136			
SOX10	Waardenburg syndrome, type 4C	AD	613266			
SOX2	Optic nerve hypoplasia and abnormalities of the central nervous system	AD	206900			
SOX2	Microphthalmia, syndromic 3	AD	206900			
SOX3	Mental retardation, X-linked, with isolated growth hormone deficiency	XR	300123		!	
SOX9	Campomelic dysplasia with autosomal sex reversal	AD	114290			
SOX9	Campomelic dysplasia	AD	114290			
SOX9	Acampomelic campomelic dysplasia	AD	114290			
SPG11	Spastic paraplegia 11, autosomal recessive	AR	604360			
SPG11	Charcot-Marie-Tooth disease, axonal, type 2X	AR	616668			
SPR	Dystonia, dopa-responsive, due to sepiapterin reductase deficiency	AR;AD	612716			
SPRED1	Legius syndrome	AD	611431			
SPTAN1	Epileptic encephalopathy, early infantile, 5	AD	613477			
SRCAP	Floating-Harbor syndrome	AD	136140			
SRD5A3	Kahrizi syndrome	AR	612713			
SRD5A3	Congenital disorder of glycosylation, type Iq	AR	612379			
SRPX2	?Rolandic epilepsy, mental retardation, and speech dyspraxia	XR	300643			
ST3GAL3	Mental retardation, autosomal recessive 12	AR	611090		!	
ST3GAL3	Epileptic encephalopathy, early infantile, 15	AR	615006			
ST3GAL5	Amish infantile epilepsy syndrome	AR	609056		!	
STIL	Microcephaly 7, primary, autosomal recessive	AR	612703			
STRA6	Microphthalmia, syndromic 9	AR	601186			
STRA6	Microphthalmia, isolated, with coloboma 8	AR	601186			
STXBP1	Epileptic encephalopathy, early infantile, 4	AD	612164			
SUCLG1	Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria)	AR	245400			
SUMF1	Multiple sulfatase deficiency	AR	272200			
SURF1	Leigh syndrome, due to COX IV deficiency	AR	256000		!	
SYN1	Epilepsy, X-linked, with variable learning disabilities and behavior disorders	XD;XR	300491			
SYNGAP1	Mental retardation, autosomal dominant 5	AD	612621			
SYP	Mental retardation, X-linked 96	XD	300802			
TAC3	Hypogonadotropic hypogonadism 10 with or without anosmia	AR	614839			
TACO1	Mitochondrial complex IV deficiency	AR;M	220110			
TAF2	Mental retardation, autosomal recessive 40	AR	615599			
TAT	Tyrosinemia, type II	AR	276600			
TAZ	Barth syndrome	XR	302060			
TBC1D24	Myoclonic epilepsy, infantile, familial	AR	605021			
TBC1D24	Epileptic encephalopathy, early infantile, 16	AR	615338			
TBC1D24	DOOR syndrome	AR	220500			
TBCE	Hypoparathyroidism-retardation-dysmorphism syndrome	AR	241410			
TBCE	Kenny-Caffey syndrome, type 1	AR	244460			
TCF4	Pitt-Hopkins syndrome	AD	610954			
