# Genepanel: TrioPU Version: 01 Date: 2016-01-21							
gene symbol		inheritance info	phenotype	inheritance	omim_number	PMID	
FGFR3	X	!	Colorectal cancer, somatic		114500		
FGFR3	X	!	Nevus, epidermal, somatic		162900		
FGFR3	X	!	Cervical cancer, somatic		603956		
FGFR3			Muenke syndrome	AD	602849		
FGFR3	X	!	Thanatophoric dysplasia, type II	AD	187601		
FGFR3	X	!	CATSHL syndrome	AR;AD	610474		
FGFR3	X	!	LADD syndrome	AD	149730		
FGFR3	X	!	Thanatophoric dysplasia, type I	AD	187600		
FGFR3	X	!	Bladder cancer, somatic		109800		
FGFR3	X	!	Hypochondroplasia	AD	146000		
FGFR3	X	!	Spermatocytic seminoma, somatic		273300		
FH			Fumarase deficiency	AR	606812		
FH	X	!	Leiomyomatosis and renal cell cancer	AD	150800		
FH	X	!	Hypercholesterolemia, familial	AD	143890		
FH	X	!	LDL cholesterol level QTL2	AD	143890		
FIG4			Yunis-Varon syndrome	AR	216340		
FIG4			Charcot-Marie-Tooth disease, type 4J	AR	611228		
FIG4	X		Amyotrophic lateral sclerosis 11		612577		
FIG4	X		?Polymicrogyria, bilateral temporooccipital	AR	612691		
FKRP			Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5	AR	613153		
FKRP	X	!	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5	AR	607155		
FKRP			Muscular dystrophy-dystroglycanopathy (congenital with or without mental retardation), type B, 5	AR	606612		
FKTN	X	!	Cardiomyopathy, dilated, 1X	AR	611615		
FKTN			Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4	AR	611588		
FKTN			Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4	AR	613152		
FKTN			Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4	AR	253800		
FLNA		!	FG syndrome 2	XR	300321		
FLNA			Melnick-Needles syndrome	XD	309350		
FLNA			Congenital short bowel syndrome	XR	300048		
FLNA			Intestinal pseudoobstruction, neuronal	XR	300048		
FLNA	X	!	Cardiac valvular dysplasia, X-linked	XR	314400		
FLNA	X	!	Heterotopia, periventricular, ED variant		300537		
FLNA	X	!	Terminal osseous dysplasia		300244		
FLNA			Heterotopia, periventricular	XD	300049		
FLNA			Otopalatodigital syndrome, type II	XD	304120		
FLNA			Frontometaphyseal dysplasia	XR	305620		
FLNA			Otopalatodigital syndrome, type I	XD	311300		
FLVCR1	X	!	Ataxia, posterior column, with retinitis pigmentosa	AR	609033		
FLVCR2			Proliferative vasculopathy and hydraencephaly-hydrocephaly syndrome	AR	225790		
FMR1	Obs trinukleotid		Fragile X syndrome	XD	300624		
FMR1	X	!	Premature ovarian failure 1	X	311360		
FMR1	X	!	Fragile X tremor/ataxia syndrome	XD	300623		
FOLR1			Neurodegeneration due to cerebral folate transport deficiency	AR	613068		
FOXG1			Rett syndrome, congenital variant	IC	613454		
FOXP1			Mental retardation with language impairment and with or without autistic features	AD	613670		
FOXRED1		!	Mitochondrial complex I deficiency	AR	252010		
FOXRED1		!	Leigh syndrome due to mitochondrial complex I deficiency	AR	256000		
FRAS1			Fraser syndrome	AR	219000		
FREM2			Fraser syndrome	AR	219000		
FRY	X	!					
FTCD			Glutamate formiminotransferase deficiency	AR	229100		
FTL		!	L-ferritin deficiency, dominant and recessive	AR	615604		
FTL	X	!	Hyperferritinemia-cataract syndrome	AD	600886		
FTL			Neurodegeneration with brain iron accumulation 3	AD	606159		
FTO	X	!	{Obesity, susceptibility to, BMIQ14}	AR	612460		
FTO			Growth retardation, developmental delay, facial dysmorphism	AR	612938		
FTSJ1		!	Mental retardation, X-linked 9	XD	309549		
FUCA1			Fucosidosis	AR	230000		
GAA			Glycogen storage disease II	AR	232300		
GABRA1	X	!	{Epilepsy, childhood absence, susceptibility to, 4}		611136		
GABRA1			Epileptic encephalopathy, early infantile, 19	AD	615744		
GABRA1	X	!	{Epilepsy, juvenile myoclonic, susceptibility to, 5}		611136		
GABRB3		!		AD	612269	25356899	
GAD1			?Cerebral palsy, spastic quadriplegic, 1	AR	603513		
GALC			Krabbe disease	AR	245200		
GALE			Galactose epimerase deficiency	AR	230350		
GALT			Galactosemia	AR	230400		
GAMT			Cerebral creatine deficiency syndrome 2	AR	612736		
GATM			Cerebral creatine deficiency syndrome 3	AR	612718		
GBA			Gaucher disease, type III	AR	231000		
GBA			Gaucher disease, type II	AR	230900		
GBA			Gaucher disease, type I	AR	230800		
GBA	X	!	{Parkinson disease, late-onset, susceptibility to}	IC;	168600		
GBA			Gaucher disease, perinatal lethal	AR	608013		
GBA	X	!	{Lewy body dementia, susceptibility to}	AD	127750		
GBA			Gaucher disease, type IIIC	AR	231005		
GCDH			Glutaricaciduria, type I	AR	231670		
GCH1	X	!	Dystonia, DOPA-responsive, with or without hyperphenylalaninemia	AR;AD	128230		
GCH1			Hyperphenylalaninemia, BH4-deficient, B	AR	233910		
GCSH			Glycine encephalopathy	AR	605899		
GDI1			Mental retardation, X-linked 41		300849		
GFAP			Alexander disease	AD	203450		
GFER			Myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay		613076		
GFM1			Combined oxidative phosphorylation deficiency 1	AR	609060		
GJA1	X	!	Craniometaphyseal dysplasia, autosomal recessive	AR	218400		
GJA1	X	!	Palmoplantar keratoderma with congenital alopecia	AD	104100		
GJA1	X	!	Atrioventricular septal defect 3	AD	600309		
GJA1			Oculodentodigital dysplasia, autosomal recessive	AR	257850		
GJA1			Oculodentodigital dysplasia	AD	164200		
GJA1	X	!	Hypoplastic left heart syndrome 1	AR	241550		
GJA1	X	!	Erythrokeratodermia variabilis et progressiva	AR;AD	133200		
GJA1	X	!	Syndactyly, type III	AD	186100		
GJC2			Spastic paraplegia 44, autosomal recessive	AR	613206		
GJC2	X	!	Lymphedema, hereditary, IC	AD	613480		
GJC2			Leukodystrophy, hypomyelinating, 2	AR	608804		
GK			Glycerol kinase deficiency	XR	307030		
GLB1			GM1-gangliosidosis, type II	AR	230600		
GLB1			GM1-gangliosidosis, type I	AR	230500		
GLB1	X	!	Mucopolysaccharidosis type IVB (Morquio)	AR	253010		
GLB1			GM1-gangliosidosis, type III	AR	230650		
GLDC			Glycine encephalopathy	AR	605899		
GLI2			Holoprosencephaly-9	AD	610829		
GLI2			Culler-Jones syndrome	AD	615849		
GLI3	X	!	Polydactyly, postaxial, types A1 and B	AD	174200		
GLI3			Pallister-Hall syndrome	AD	146510		
GLI3			Greig cephalopolysyndactyly syndrome	AD	175700		
GLI3	X	!	{Hypothalamic hamartomas, somatic}		241800		
GLI3	X	!	Polydactyly, preaxial, type IV	AD	174700		
GLUD1			Hyperinsulinism-hyperammonemia syndrome	AD	606762		
GLUL			Glutamine deficiency, congenital	AR	610015		
GM2A			GM2-gangliosidosis, AB variant	AR	272750		
GNAS	X		Pseudohypoparathyroidism Ia	AD	103580		
GNAS	X		Osseous heteroplasia, progressive	AD	166350		
GNAS	X		McCune-Albright syndrome, somatic, mosaic		174800		
GNAS			Pseudopseudohypoparathyroidism	AD	612463		
GNAS	X		ACTH-independent macronodular adrenal hyperplasia	IC	219080		
GNAS			Pseudohypoparathyroidism Ic	AD	612462		
GNAS	X	!	Acromegaly, somatic		102200		
GNAS	X	!	Pseudohypoparathyroidism Ib	AD	603233		
GNPAT			Rhizomelic chondrodysplasia punctata, type 2	AR	222765		
GNPTAB			Mucolipidosis III alpha/beta	AR	252600		
GNPTAB			Mucolipidosis II alpha/beta	AR	252500		
GNPTG		!	Mucolipidosis III gamma	AR	252605		
GNS			Mucopolysaccharidosis type IIID	AR	252940		
GPC3	X	!	Wilms tumor, somatic		194070		
GPC3			Simpson-Golabi-Behmel syndrome, type 1	XR	312870		
GPR56		!	Polymicrogyria, bilateral perisylvian	AR	615752		
GPR56			Polymicrogyria, bilateral frontoparietal	AR	606854		
GPSM2			Chudley-McCullough syndrome	AR	604213		
GRIA3			Mental retardation, X-linked 94	XR	300699		
GRIK2			Mental retardation, autosomal recessive, 6	AR	611092		
GRIN1			Mental retardation, autosomal dominant 8		614254		
GRIN2A			Epilepsy, focal, with speech disorder and with or without mental retardation	AD	245570		
GRIN2B		!	Mental retardation, autosomal dominant 6	AD	613970		
GRIN2B			Epileptic encephalopathy, early infantile, 27	AD	616139		
GRM1			Spinocerebellar ataxia, autosomal recessive 13	AR	614831		
GTF2H5		!	Trichothiodystrophy 3, photosensitive	AR	616395		
GUSB			Mucopolysaccharidosis VII	AR	253220		
HADH		!	3-hydroxyacyl-CoA dehydrogenase deficienc	AR	231530		
HCCS			Linear skin defects with multiple congenital anomalies 1	XD	309801		
HCN1			Epileptic encephalopathy, early infantile, 24	AD	615871		
HDAC4		!	 chromosome 2q37 deletion syndrome	AD	600430		
HDAC8			Cornelia de Lange syndrome 5	XD	300882		
HDAC8			Wilson-Turner syndrome	XD	309585		
HESX1			Growth hormone deficiency with pituitary anomalies	AR;AD	182230		
HESX1			Septooptic dysplasia	AR;AD	182230		
HESX1			Pituitary hormone deficiency, combined, 5	AR;AD	182230		
HEXA	X	!	[Hex A pseudodeficiency]	AR	272800		
HEXA			Tay-Sachs disease	AR	272800		
HEXA			GM2-gangliosidosis, several forms	AR	272800		
HEXB			Sandhoff disease, infantile, juvenile, and adult forms	AR	268800		
HGSNAT			Mucopolysaccharidosis type IIIC (Sanfilippo C)	AR	252930		
HGSNAT	X	!	Retinitis pigmentosa 73	AR	616544		
HIBCH			3-hydroxyisobutryl-CoA hydrolase deficiency	AR	250620		
HLCS			Holocarboxylase synthetase deficiency	AR	253270		
HMGCL			HMG-CoA lyase deficiency	AR	246450		
HMGCS2			HMG-CoA synthase-2 deficiency		605911		
HOXA1		!	Athabaskan brainstem dysgenesis syndrome	AR	601536		
HOXA1		!	Bosley-Salih-Alorainy syndrome	AR	601536		
HPD			Tyrosinemia, type III	AR	276710		
HPD	X	!	Hawkinsinuria	AD	140350		
HPRT1	X	!	HPRT-related gout	XR	300323		
HPRT1			Lesch-Nyhan syndrome	XR	300322		
HRAS	X	!	{Spitz nevus or nevus spilus, somatic}		137550		
HRAS	X	!	{Nevus sebaceous or woolly hair nevus, somatic}		162900		
HRAS	X	!	{Bladder cancer, somatic}		109800		
HRAS	X	!	Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic		163200		
HRAS		!	Costello syndrome	AD	218040		
HRAS	X	!	{Thyroid carcinoma, follicular, somatic}		188470		
HRAS	X	!	Congenital myopathy with excess of muscle spindles	AD;IC	218040		
HSD17B10			?Mental retardation, X-linked syndromic 10	XR	300220		
HSD17B10			17-beta-hydroxysteroid dehydrogenase X deficiency	XD	300438		
HSD17B4			Perrault syndrome 1	AR	233400		
HSD17B4			D-bifunctional protein deficiency	AR	261515		
HSPD1	X	!	Spastic paraplegia 13, autosomal dominant	AD	605280		
HSPD1			Leukodystrophy, hypomyelinating, 4	AR	612233		
HSPG2			Schwartz-Jampel syndrome, type 1	AR	255800		
HSPG2	X	!	Dyssegmental dysplasia, Silverman-Handmaker type	AR	224410		
HUWE1			Mental retardation, X-linked syndromic, Turner type		300706		
HYLS1			Hydrolethalus syndrome	AR	236680		
IDS			Mucopolysaccharidosis II	XR	309900		
IDUA	X	!	Mucopolysaccharidosis Is	AR	607016		
IDUA	X	!	Mucopolysaccharidosis Ih/s	AR	607015		
IDUA			Mucopolysaccharidosis Ih	AR	607014		
IFIH1			Aicardi-Goutieres syndrome 7	AD	615846		
IFIH1	X		Singleton-Merten syndrome 1	AD	182250		
IFT140			Short-rib thoracic dysplasia 9 with or without polydactyly	AR	266920		
IGBP1			Corpus callosum, agenesis of, with mental retardation, ocular coloboma and micrognathia	XR	300472		
IGF1			Growth retardation with deafness and mental retardation due to IGF1 deficiency	AR	608747		
IGF1R		!	Insulin-like growth factor I, resistance to	AD	270450		
IGHMBP2	X	!	Neuronopathy, distal hereditary motor, type VI	AR	604320		Gentet utgår fra listen, gir ikke PU, men muskelsvakhet.
IGHMBP2	X	!	Charcot-Marie-Tooth disease, axonal, type 2S	AR	616155		
IL1RAPL1			Mental retardation, X-linked 21/34	XR	300143		
INPP4A	X	!					
INPP5E			Mental retardation, truncal obesity, retinal dystrophy, and micropenis	AR	610156		
INPP5E			Joubert syndrome 1	AR	213300		
IQSEC2			Mental retardation, X-linked 1	X	309530		
IRX5			Hamamy syndrome	AR	611174		
ISPD	X	!	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 7	AR	616052		
ISPD			Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7	AR	614643		
ITCH			Autoimmune disease, multisystem, with facial dysmorphism	AR	613385		
ITGA7			Muscular dystrophy, congenital, due to ITGA7 deficiency	AR	613204		
ITPR1			Spinocerebellar ataxia 29, congenital nonprogressive	AD	117360		
ITPR1	X	!	Spinocerebellar ataxia 15	AD	606658		
IVD			Isovaleric acidemia	AR	243500		
JAG1	X	!	?Deafness, congenital heart defects, and posterior embryotoxon				
JAG1	X	!	Tetralogy of Fallot	AD	187500		
JAG1			Alagille syndrome	AD	118450		
JAM3			Hemorrhagic destruction of the brain, subependymal calcification, and cataracts	AR	613730		
KANK1			Cerebral palsy, spastic quadriplegic, 2		612900		
KANSL1			Koolen-De Vries syndrome	AD	610443		
KAT6B		!	SBBYSS syndrome	AD	603736		
KAT6B			Genitopatellar syndrome	AD	606170		
KCNJ10			SESAME syndrome	AR	612780		
KCNJ10	X	!	Enlarged vestibular aqueduct, digenic	AR	600791		
KCNMA1			Generalized epilepsy and paroxysmal dyskinesia	AD	609446		
KCNQ2			Seizures, benign neonatal, 1	AD	121200		
KCNQ2			Myokymia	AD	121200		
KCNQ2			Epileptic encephalopathy, early infantile, 7	AD	613720		
KCTD7			Epilepsy, progressive myoclonic 3, with or without intracellular inclusions	AR	611726		
KDM5C			Mental retardation, X-linked, syndromic, Claes-Jensen type	XR	300534		
KDM6A			Kabuki syndrome 2	XD	300867		
KIAA0226			?Spinocerebellar ataxia, autosomal recessive 15	AR	615705		
KIAA1279			Goldberg-Shprintzen megacolon syndrome	AR	609460		
KIAA2022			Mental retardation, X-linked 98	XR	300912		
KIF11			Microcephaly with or without chorioretinopathy, lymphedema, or mental retardation	AD	152950		
KIF1A			Spastic paraplegia 30, autosomal recessive	AR	610357		
KIF1A			Neuropathy, hereditary sensory, type IIC	AR	614213		
KIF1A			Mental retardation, autosomal dominant 9	AD	614255		
KIF7	X	!	?Hydrolethalus syndrome 2	AR	614120		
KIF7			Joubert syndrome 12	AR	200990		
KIF7			Acrocallosal syndrome	AR	200990		
KIRREL3			Mental retardation, autosomal dominant 4		612581		
KMT2D			Kabuki syndrome 1	AD	147920		
KRAS	X	!	Gastric cancer, somatic		137215		
KRAS	X	!	RAS-associated autoimmune leukoproliferative disorder	AD	614470		
KRAS			Cardiofaciocutaneous syndrome 2	AD	615278		
KRAS	X	!	Pancreatic carcinoma, somatic		260350		
KRAS	X	!	Breast cancer, somatic		114480		
KRAS		!	Noonan syndrome 3	AD	609942		
KRAS	X	!	Bladder cancer, somatic		109800		
KRAS	X	!	Lung cancer, somatic		211980		
KRAS	X	!	Leukemia, acute myeloid	AD	601626		
KRAS	X	!	Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic		163200		
L1CAM			Hydrocephalus with Hirschsprung disease	XR	307000		
L1CAM			Hydrocephalus with congenital idiopathic intestinal pseudoobstruction	XR	307000		
L1CAM			Hydrocephalus due to aqueductal stenosis	XR	307000		
L1CAM			CRASH syndrome	XR	303350		
L1CAM		!	Corpus callosum, partial agenesis of	XR	304100		
L1CAM			MASA syndrome	XR	303350		
L2HGDH			L-2-hydroxyglutaric aciduria	AR	236792		
LAMA1			Poretti-Boltshauser syndrome	AR	615960		
LAMA2			Muscular dystrophy, congenital merosin-deficient	AR	607855		
LAMA2			Muscular dystrophy, congenital, due to partial LAMA2 deficiency	AR	607855		
LAMB1			Lissencephaly 5	AR	615191		
LAMC3			Cortical malformations, occipital	AR	614115		
LAMP2			Danon disease	XD	300257		
LARGE			Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 6	AR	608840		
LARGE			Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6	AR	613154		
LHX3			Pituitary hormone deficiency, combined, 3	AR	221750		
LHX4			Pituitary hormone deficiency, combined, 4	AD	262700		
LIG4	X	!	{Multiple myeloma, resistance to}		254500		
LIG4		!	LIG4 syndrome	AR	606593		
LINS1		!	Mental retardation, autosomal recessive 27	AR	614340		
LMBRD1			Methylmalonic aciduria and homocystinuria, cblF type	AR	277380		
LRP2			Donnai-Barrow syndrome	AR	222448		
LRP5	X	!	Osteosclerosis	AD	144750		
LRP5			Osteoporosis-pseudoglioma syndrome	AR	259770		
LRP5	X	!	Osteopetrosis, autosomal dominant 1	AD	607634		
LRP5	X	!	{Osteoporosis}	AD	166710		
LRP5	X	!	Hyperostosis, endosteal	AD	144750		
LRP5	X	!	[Bone mineral density variability 1]	AD	601884		
LRP5	X	!	Exudative vitreoretinopathy 4	AR;AD	601813		
LRP5	X	!	van Buchem disease, type 2	AD	607636		
LRPPRC			Leigh syndrome, French-Canadian type	AR	220111		
LYST			Chediak-Higashi syndrome	AR	214500		
MAGEL2			Schaaf-Yang syndrome	AD	615547		
MAGT1	X	!	Immunodeficiency, X-linked, with magnesium defect, Epstein-Barr virus infection and neoplasia		300853	23871722	tvilsoms i hht Pubmed, utgår
MAN1B1			Mental retardation, autosomal recessive 15	AR	614202		
MAN2B1			Mannosidosis, alpha-, types I and II	AR	248500		
MANBA			Mannosidosis, beta	AR	248510		
MAOA			Brunner syndrome	XR	300615		
MAP2K1			Cardiofaciocutaneous syndrome 3		615279		
MAP2K2			Cardiofaciocutaneous syndrome 4		615280		
MAPK10	X	!					
MASP1			3MC syndrome 1	AR	257920		
MAT1A			Methionine adenosyltransferase deficiency, autosomal recessive	AR;AD	250850		
MAT1A			Hypermethioninemia, persistent, autosomal dominant, due to methionine adenosyltransferase I/III deficiency	AR;AD	250850		
MBD5			Mental retardation, autosomal dominant 1	AD	156200		
MCCC1			3-Methylcrotonyl-CoA carboxylase 1 deficiency	AR	210200		
MCCC2			3-Methylcrotonyl-CoA carboxylase 2 deficiency	AR	210210		
MCOLN1			Mucolipidosis IV	AR	252650		
MCPH1			Microcephaly 1, primary, autosomal recessive	AR	251200		
MECP2			Mental retardation, X-linked syndromic, Lubs type	XR	300260		
MECP2	X	!	{Autism susceptibility, X-linked 3}	IC;;	300496		
MECP2			Encephalopathy, neonatal severe	XR	300673		
MECP2			Rett syndrome, preserved speech variant	XD	312750		
MECP2			Rett syndrome, atypical	XD	312750		
MECP2			Rett syndrome	XD	312750		
MECP2			Mental retardation, X-linked, syndromic 13	XR	300055		
MED12			Lujan-Fryns syndrome	XR	309520		
MED12			Opitz-Kaveggia syndrome	XR	305450		
MED12			Ohdo syndrome, X-linked	XR	300895		
MED17			Microcephaly, postnatal progressive, with seizures and brain atrophy	AR	613668		
MED23		!	Mental retardation, autosomal recessive 18	AR	614249		
MEF2C			Mental retardation, stereotypic movements, epilepsy, and/or cerebral malformations	IC	613443		
MEF2C			Chromosome 5q14.3 deletion syndrome	IC	613443		
MEGF10	X	!	Myopathy, areflexia, respiratory distress, and dysphagia, early-onset, mild variant	AR	614399		
MEGF10			Myopathy, areflexia, respiratory distress, and dysphagia, early-onset	AR	614399		
MFSD8	X	!	Macular dystrophy with central cone involvement	AR	616170		
MFSD8			Ceroid lipofuscinosis, neuronal, 7	AR	610951		
MGAT2			Congenital disorder of glycosylation, type IIa	AR	212066		
MGP			Keutel syndrome	AR	245150		
MID1			Opitz GBBB syndrome, type I	XR	300000		
MKKS			McKusick-Kaufman syndrome	AR	236700		
MKKS			Bardet-Biedl syndrome 6	AR	605231		
MKS1			Meckel syndrome 1	AR	249000		
MKS1			Bardet-Biedl syndrome 13	AR	615990		
MLC1			Megalencephalic leukoencephalopathy with subcortical cysts	AR	604004		
MLYCD			Malonyl-CoA decarboxylase deficiency	AR	248360		
MMAA			Methylmalonic aciduria, vitamin B12-responsive	AR	251100		
MMAB			Methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblB complementation type	AR	251110		
MMACHC			Methylmalonic aciduria and homocystinuria, cblC type	AR	277400		
MMADHC			Methylmalonic aciduria, cblD type, variant 2	AR	277410		
MMADHC			Methylmalonic aciduria and homocystinuria, cblD type	AR	277410		
MMADHC			Homocystinuria, cblD type, variant 1	AR	277410		
MOCS1			Molybdenum cofactor deficiency A	AR	252150		
MOCS2			Molybdenum cofactor deficiency B	AR	252160		
MOGS			Congenital disorder of glycosylation, type IIb	AR	606056		
MPDU1			Congenital disorder of glycosylation, type If	AR	609180		
MPLKIP			Trichothiodystrophy 4, nonphotosensitive	AR	234050		
MPV17			Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)	AR	256810		
MRE11A			Ataxia-telangiectasia-like disorder	AR	604391		
MTHFR			Homocystinuria due to MTHFR deficiency	AR	236250		
MTHFR	X	!	{Vascular disease, susceptibility to}				
MTHFR	X	!	{Thromboembolism, susceptibility to}	AD	188050		
MTHFR	X	!	{Schizophrenia, susceptibility to}	AD	181500		
MTHFR	X	!	{Neural tube defects, susceptibility to}	AR	601634		
MTO1			Combined oxidative phosphorylation deficiency 10	AR	614702		
MTR			{Neural tube defects, folate-sensitive, susceptibility to}	AR	601634		
MTR			Homocystinuria-megaloblastic anemia, cblG complementation type	AR	250940		
MTRR	X	!	{Neural tube defects, folate-sensitive, susceptibility to}	AR	601634		
MTRR			Homocystinuria-megaloblastic anemia, cbl E type	AR	236270		
MTTP	X	!					
MUT			Methylmalonic aciduria, mut(0) type	AR	251000		
MYCN			Feingold syndrome	AD	164280		
MYH3	X	!	Arthrogryposis, distal, type 8	AD	178110		
MYH3	X	!	Arthrogryposis, distal, type 2B	AD	601680		
MYH3			Arthrogryposis, distal, type 2A	AD	193700		
MYO5A			Griscelli syndrome, type 1	AR	214450		
NAA10			Ogden syndrome	XD;XR	300855		
NAA10		!	?Microphthalmia, syndromic 1	XR	309800		
NAGA			Schindler disease, type I	AR	609241		
NAGA			Kanzaki disease	AR	609242		
NAGA			Schindler disease, type III	AR	609241		
NAGLU			Mucopolysaccharidosis type IIIB (Sanfilippo B)	AR	252920		
NAGLU	X	!	?Charcot-Marie-Tooth disease, axonal, type 2V	AD	616491		
NAGS			N-acetylglutamate synthase deficiency	AR	237310		
NBN	X	!	Aplastic anemia		609135		
NBN			Nijmegen breakage syndrome	AR	251260		
NBN	X	!	Leukemia, acute lymphoblastic		613065		
NDE1			Lissencephaly 4 (with microcephaly)	AR	614019		
NDE1			?Microhydranencephaly	AR	605013		
NDP			Norrie disease	XR	310600		
NDP	X	!	Exudative vitreoretinopathy 2, X-linked		305390		
NDST1			Mental retardation, autosomal recessive 46	AR	616116		
NDUFA1			Mitochondrial complex I deficiency	AR;M;XD	252010		
NDUFAF2			Mitochondrial complex I deficiency	AR;M;XD	252010		
NDUFAF2			Leigh syndrome	AR;M	256000		
NDUFS1			Mitochondrial complex I deficiency	AR;M;XD	252010		
NDUFS4			Mitochondrial complex I deficiency	AR;M;XD	252010		
NDUFS4			Leigh syndrome	AR;M	256000		
NDUFS7			Leigh syndrome	AR;M	256000		
NDUFS8			Leigh syndrome due to mitochondrial complex I deficiency	AR;M	256000		
NDUFV1			Mitochondrial complex I deficiency	AR;M;XD	252010		
NEK1			Short-rib thoracic dysplasia 6 with or without polydactyly	AR;DR	263520		
NEU1			Sialidosis, type II	AR	256550		
NEU1			Sialidosis, type I	AR	256550		
NF1			Watson syndrome	AD	193520		
NF1			Neurofibromatosis-Noonan syndrome	AD	601321		
NF1			Neurofibromatosis, type 1	AD	162200		
NF1	X	!	Neurofibromatosis, familial spinal	AD	162210		
NF1	X	!	Leukemia, juvenile myelomonocytic		607785		
NFIX			Sotos syndrome 2		614753		
NFIX			Marshall-Smith syndrome	AD	602535		
NFU1			Multiple mitochondrial dysfunctions syndrome 1	AR	605711		
NHP2			Dyskeratosis congenita, autosomal recessive 2	AR	613987		
NHS			Nance-Horan syndrome	XD	302350		
NHS	X	!	Cataract 40, X-linked	X	302200		
NIPBL			Cornelia de Lange syndrome 1	AD	122470		
NKX2	X	!	Persistent truncus arteriosus		217095		
NKX2	X	!	Conotruncal heart malformations		217095		
NKX2	X	!	{Thyroid cancer, monmedullary, 1}	AD	188550		
NKX2	X	!	Choreoathetosis, hypothyroidism, and neonatal respiratory distress	AD	610978		
NKX2	X	!	Chorea, hereditary benign	AD	118700		
NKX2	X	!	Ventricular septal defect 3	AD	614432		
NKX2	X	!	Tetrology of Fallot	AD	187500		
NKX2			Hypothyroidism, congenital nongoitrous, 5	AD	225250		
NKX2	X	!	Hypoplastic left heart syndrome 2	AD	614435		
NKX2	X	!	Conotruncal heart malformations, variable		217095		
NKX2	X	!	Atrial septal defect 7, with or without AV conduction defects	AD	108900		
NKX2-1		!	Choreoathetosis, hypothyroidism, and neonatal respiratory distress, Learning difficulties mental retardation	AD	610978	22832740	
NOP10			Dyskeratosis congenita, autosomal recessive 1	AR	224230		
NOTCH1	X	!	Aortic valve disease 1	AD	109730		
NOTCH1			Adams-Oliver syndrome 5	AD	616028		
NPC1	X	!	{Nasopharyngeal carcinoma 1}		607107		
NPC1			Niemann-Pick disease, type D	AR	257220		
NPC1			Niemann-Pick disease, type C1	AR	257220		
NPC2			Niemann-pick disease, type C2	AR	607625		
NPHP1			Senior-Loken syndrome-1	AR	266900		
NPHP1			Nephronophthisis 1, juvenile	AR	256100		
NPHP1			Joubert syndrome 4	AR	609583		
NPHP3			Renal-hepatic-pancreatic dysplasia 1	AR	208540		
NPHP3	X	!	Nephronophthisis 3	AR	604387		
NPHP3	X	!	Meckel syndrome 7	AR	267010		
NR1I3	X	!					
NR2F1			Bosch-Boonstra-Schaaf optic atrophy syndrome	AD	615722		
NRAS	X	!	Epidermal nevus, somatic		162900		
NRAS	X	!	Thyroid carcinoma, follicular, somatic		188470		
NRAS	X	!	Colorectal cancer, somatic		114500		
NRAS	X	!	Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic		163200		
NRAS	X	!	?RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic		614470		
NRAS			Noonan syndrome 6		613224		
NRAS	X	!	Neurocutaneous melanosis, somatic		249400		
NRAS	X	!	Melanocytic nevus syndrome, congenital, somatic		137550		
NRXN1	X	!	{Schizophrenia, susceptibility to, 17}		614332		
NRXN1			Pitt-Hopkins-like syndrome 2	AR	614325		
NSD1			Beckwith-Wiedemann syndrome	AD	130650		
NSD1			Sotos syndrome 1	AD	117550		
NSD1	X	!	Leukemia, acute myeloid	AD	601626		
NSDHL			CK syndrome	XR	300831		
NSDHL			CHILD syndrome	XD	308050		
NSUN2			Mental retardation, autosomal recessive 5	AR	611091		
NUBPL		!	Mitochondrial complex I deficiency	AR	252010		
NUP62			Striatonigral degeneration, infantile	AR	271930		
OCRL			Lowe syndrome	XR	309000		
OCRL			Dent disease 2	XR	300555		
OFD1	X	!	?Retinitis pigmentosa 23	XR	300424		
OFD1			Simpson-Golabi-Behmel syndrome, type 2	XR	300209		
OFD1			Orofaciodigital syndrome I	XD	311200		
OFD1			Joubert syndrome 10		300804		
OPHN1			Mental retardation, X-linked, with cerebellar hypoplasia and distinctive facial appearance	XR	300486		
ORC1			Meier-Gorlin syndrome 1	AR	224690		
OTC			Ornithine transcarbamylase deficiency	XR	311250		
OTX2			Retinal dystrophy, early-onset, with or without pituitary dysfunction	AD	610125		
OTX2	X	!	Pituitary hormone deficiency, combined, 6	AD	613986		
OTX2			Microphthalmia, syndromic 5	AD	610125		
PAFAH1B1		!	Lissencephaly 1	AD	607432		
